body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.atributos,framework.field.autenticacoes,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.metodo,framework.field.mitigacoes,framework.field.modo,framework.field.passos,framework.field.passosSelecao,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.status,framework.field.statusCalc,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.total,framework.field.traceId,framework.field.veredito,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok,http_access,1,aab7c3b9-76e2-4fb1-955c-916623cb3058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788182516000000000,3fafa90943f1480482120d231bb392f5
evento=http_access status=ok,http_access,1,dba4b9ae-eca5-4234-b9b5-2618d039b708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/diagnostico,INFO,1788182516000000000,fa087a632d494a1d8f4186c33c2e1b16
evento=http_access status=ok,http_access,1,3922fa09-b285-4924-b2bc-9331e545cfe4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1788182516000000000,ec0341cd3bcc4733808ab8c40cafe78b
evento=http_access status=ok,http_access,1,c5eb9d77-2552-48ff-9b25-8d4e5f837d46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1788182515000000000,ff5d613549e84c318c97a479b5add205
evento=http_access status=ok,http_access,1,8d878074-fea2-49d7-8b30-5721c2ea8008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1788182514000000000,344cdf9bea914550976571e538e65395
evento=http_access status=ok,http_access,1,c7692bbc-04b3-4c10-ac8d-7c2cfdd09742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1788182513000000000,6ab267fce23347bfb3ecd66273f3b766
evento=http_access status=ok,http_access,196,06a1c8ab-b504-4fd6-9617-bd00e8317779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1788182512000000000,732a0cb90ec34211adbc6c00a87893d9
evento=http_access status=ok,http_access,10,a2d132cb-92c7-4df1-b96a-482d22412674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/simuladores/api/handshake,INFO,1788182509000000000,81f0a331614d47a68ecb29f09a0cfb89
evento=handshake status=ok dados=true encerramento=true passos=9,handshake,,826a5e94-8970-4bd6-9407-a07dfae48c90,,,,,,,true,,,true,,,,,,,,,9,,,,,,,,,,,,,simuladores,ok,GET,,/simuladores/api/handshake,INFO,1788182509000000000,81f0a331614d47a68ecb29f09a0cfb89
evento=http_access status=ok,http_access,1,c0b15fe0-0e5c-465a-a20a-878c8ead8178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788182509000000000,5e48505de9ba4b7481f4755cceed9df1
evento=http_access status=ok,http_access,30,19df3b34-4346-48d6-bac3-23f39e787a7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego,INFO,1788182509000000000,f2285534e936442e84aeb4ab9198318f
evento=http_access status=ok,http_access,0,6b4d9a76-5913-4217-8669-c9530c144ae9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/history,INFO,1788182506000000000,d706f08051004cd9adcf2b431646f620
evento=http_access status=ok,http_access,971,f2016f6c-6284-497d-8e83-140dc4897181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/api/informacoes/geo,INFO,1788182506000000000,e5b419fbdb8b414eb47113d072b1ceda
evento=history_persist status=ok total=60,history_persist,,f4d1527d-049d-4bdc-bb4a-e0f570e794cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,analiseDidatica,ok,GET,,/api/informacoes/geo,INFO,1788182506000000000,e5b419fbdb8b414eb47113d072b1ceda
evento=http_access status=ok,http_access,51,1dad87e4-680b-43aa-8341-dec3968cdbb6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/history,INFO,1788182505000000000,2fc89315556f4de68d5b1474f90967d5
evento=geo_lookup status=ok ip=visitante-002,geo_lookup,,7974dc68-286a-45fa-a3d1-e7c19f1e8c41,,,,,,,,,,,,,,visitante-002,,,,,,,,,,,,,,,,,,analiseDidatica,ok,GET,,/api/informacoes/geo,INFO,1788182505000000000,e5b419fbdb8b414eb47113d072b1ceda
evento=http_access status=ok,http_access,1,9f2b3a2c-217b-4e11-af70-0b384a822ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788182504000000000,621e706b278a45a885e28bcd3dd50553
evento=http_access status=ok,http_access,4,2f8614fc-3c12-4d55-a08a-81319b867d21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/localizacao,INFO,1788182504000000000,f48384f54cb14a0085da98a260dc0a5b
evento=http_access status=ok,http_access,1,dc2da5f6-e67f-4fa4-b8ae-e526ab1c54ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788182500000000000,95bf0e9d9fd24afe9fd5acf50f2d1c43
evento=http_access status=ok,http_access,13,181eaa3d-1e3f-416d-93f2-754fe8df8b28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1788182500000000000,18164913f0394dd5a12e49de53fd45f6
evento=http_access status=ok,http_access,1,c0b89ef5-49c2-4e7b-a283-8aeb7af75ce6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788182494000000000,f5d24fe51908464691168646e3e62895
evento=http_access status=ok,http_access,73,5e174548-d7be-4057-a683-850d542edf34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1788182494000000000,edc3d4a1f11540f8bd177aa485b2e8e4
evento=catalog_load status=ok total=47,catalog_load,,4324fc53-27dd-48e8-abef-f460dd0703cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,protocolos,ok,GET,,/protocolos,INFO,1788182494000000000,edc3d4a1f11540f8bd177aa485b2e8e4
evento=catalog_load status=ok total=47,catalog_load,,8067018f-96a4-46a0-906a-7f24aaca1c57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,protocolos,ok,GET,,/protocolos,INFO,1788182494000000000,edc3d4a1f11540f8bd177aa485b2e8e4
evento=http_access status=ok,http_access,1,24f1adf0-2a42-4fe2-b1ab-f86b75475d09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788182488000000000,1668c9ae61cf420ebcc50a31dd818f42
evento=http_access status=ok,http_access,62,58afc9af-3156-43d3-9e02-17aa78bd132d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1788182488000000000,48fa709541234fa5b0b758a8bb6130e6
evento=catalog_load status=ok total=30,catalog_load,,5967203b-93f5-4417-8074-5bdb49e87f31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,portas,ok,GET,,/portas,INFO,1788182488000000000,48fa709541234fa5b0b758a8bb6130e6
evento=http_access status=ok,http_access,2,5b8cdecd-3947-4248-b732-26ed4c8fd758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788182478000000000,a65bc4bd4c2844c99b4941a2f395e8bb
evento=http_access status=ok,http_access,5,6c2d6ac8-6842-4593-8499-1d0e24912086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/calculadora,INFO,1788182478000000000,cf6f1ff4d4ed48218285c201cab25f98
evento=http_access status=ok,http_access,0,cd324b65-455a-492e-aa56-9e7cf99f7de0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1788182476000000000,373cbae5684543a6975c4503290ea580
evento=http_access status=ok,http_access,15,c4281ed3-7657-48be-a4ac-b8c626690af3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1788182476000000000,2537efb048254fd08f49ee3b34e3d2eb
evento=http_access status=ok,http_access,3,9f96d974-15b7-455d-95e2-628371794051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788182476000000000,93fcb83a061342fc9706bdebd71594a5
evento=http_access status=ok,http_access,59,6c3c478e-4dc2-45cf-a950-28d7458acf23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1788182476000000000,6695e61dc6874d7f9a3025b039d3127c
evento=http_access status=ok,http_access,63,89a5a193-722c-4475-a065-1c36a74f5eb6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788182473000000000,dce44a04206042c2a194cb9f95d7b01b
evento=http_access status=ok,http_access,225,998db3ba-ee46-4174-a83e-1aed813bb64d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788182472000000000,8144ddb9a7dd4c8fb32df2454052821c
evento=http_access status=ok,http_access,146,391824ed-e1fe-409d-83c9-618a3a867d37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788174201000000000,65c5725256eb4a64b12ca0b55ce72814
evento=http_access status=ok,http_access,44,0edbbc4d-1ffb-4b07-8f0f-db12341d7475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788164966000000000,360cc59386994e4281da656682b1d38a
evento=http_access status=ok,http_access,165,18a57470-d56c-458a-8136-4425ee9611a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788163614000000000,2a152bc9f7384caea9830f333b8b6571
evento=http_access status=ok,http_access,857,78f3e3c9-b68e-44b8-92e5-40b3ecbb98e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788157967000000000,5684849dc3754e9c842e9000f4e22f9a
evento=pagina_erro_exibida status=warn metodo=GET rota=/robots.txt traceId=err-715b64f0-1f98,pagina_erro_exibida,,cac2bbc1-7ab3-4a46-921c-432d22173887,,,,,,,,,,,,,,,,GET,,,,,,,,/robots.txt,,,,,,err-715b64f0-1f98,,paginaErros,warn,,,,WARN,1788109566000000000,
evento=http_access status=ok,http_access,704,374090b8-747d-4089-a1c1-fed76bf35a71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788093653000000000,c6ab28824edb40c5aa661d410b3d3639
evento=http_access status=ok,http_access,419,cee5c3ea-3288-4d87-b299-76650772162e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788065034000000000,fc39621129184cb7bae1ba54ce3ae8aa
evento=http_access status=ok,http_access,1,d3aba64a-aee3-484c-b015-00984953b9ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055415000000000,f6df6b7cdca84868977e17b4bb53583f
evento=http_access status=ok,http_access,1,02f5f355-9982-4ebf-924e-b20ae89420b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055414000000000,cbfb5e86c0bf427a98f1e75038ff606c
evento=http_access status=ok,http_access,1,14410136-e13b-432b-a9cf-d47e91182fe0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055414000000000,2d0ec9ec233449c9883174a105c26780
evento=http_access status=ok,http_access,1,f7d358a4-b309-4064-8d12-b2f912bc2d8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055413000000000,ff5cc028e1b34ef3978d4a993e081eac
evento=http_access status=ok,http_access,1,0bb50e5f-4bc1-44d8-9652-d175396b06da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055413000000000,15ab5c2b85d34ead9ff796edadec2acf
evento=http_access status=ok,http_access,10,d9402c17-2ab3-4b99-8854-54aed1f53c7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055412000000000,050a19036edc4b7e9f70c61236a78553
evento=http_access status=ok,http_access,1,46b339b2-5599-4399-abb4-cca31fc2e03b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055412000000000,a02914cb68084226b436328dd5615e44
evento=http_access status=ok,http_access,2,001c4596-c4ee-42a2-b252-a13978a929fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055412000000000,88afd689ec054a44a526b12f53f4a0c0
evento=http_access status=ok,http_access,11,50295755-43f1-416f-b3ee-cae8b9039eb3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055411000000000,d9171084add24e6c9b310a5e8b7982d3
evento=http_access status=ok,http_access,2,7acac565-2bb4-40b0-a05e-c0a861715c24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055411000000000,be7b69f85e11493b829a129bd019a5b7
evento=http_access status=ok,http_access,28,2d04437f-d9e4-4720-8947-b9a60ac2f231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788055410000000000,26c70cffcd51433f96e302d40a3884df
evento=http_access status=ok,http_access,2,93ea857b-7636-4b78-a74b-5810c1ebf713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788054490000000000,74bc3a618d9742318d6f33cd1e0e501f
evento=http_access status=ok,http_access,103,19a75705-c8f7-479c-bfcb-12a6815db097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788051753000000000,a5acd74d573349148e62cefe474c39f0
evento=http_access status=ok,http_access,115,72826a9b-5c1a-456d-ad51-3b3809ad427b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787977411000000000,f159ab47eebd49eea8f6ea8faa5b2889
evento=http_access status=ok,http_access,116,6cde261e-83ee-4f63-be26-ab4822e53f99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787961867000000000,6d65b1b12ad843d788996fbadc9fbfcb
evento=http_access status=ok,http_access,174,60a6ca53-a51e-4f7c-8b60-7a6222fedbc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787954549000000000,154b3086023d4cf48c8b5b38dc9c1972
evento=http_access status=ok,http_access,268,d7a3b470-e2b4-40be-913b-86a2d43b7822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787920205000000000,fc6bae6fb9e24dd4a88631ad38b85698
evento=http_access status=ok,http_access,263,ea47d5b5-4327-4374-b085-afd9c17cb740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787920204000000000,06310af7f79740d599f021740cc4c15d
evento=http_access status=ok,http_access,98,91fe1931-34ae-45b0-82a0-7fce73013278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/documentacao,INFO,1787913028000000000,88f9cc043c4d4a1982489e1573b0ece4
evento=http_access status=ok,http_access,20,a5ef4c6b-6c05-4a73-87db-bd2bfbcda41d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1787913027000000000,7a05d5a92fd443338302bc0b44c6033b
evento=http_access status=ok,http_access,6,282cbd87-6054-4931-bc92-85efd0f71425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/admin/login,INFO,1787913027000000000,996047521e2e492e92071cf725b2594b
evento=http_access status=ok,http_access,76,0b849400-0511-46f5-a229-a322fa944448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1787913026000000000,840222dbe06e4a38979ac5500e85a0fd
evento=http_access status=ok,http_access,119,c23d06b9-4199-418f-a88a-c1af2347aeb6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1787913025000000000,aed789288a2a4e17a563c4c82d2ee180
evento=catalog_load status=ok total=47,catalog_load,,43a85c80-93dc-4b3c-8cfa-6a0f7539bf45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,protocolos,ok,GET,,/protocolos,INFO,1787913025000000000,aed789288a2a4e17a563c4c82d2ee180
evento=catalog_load status=ok total=47,catalog_load,,d3bbd943-92b3-4e9c-befa-90d9e7eb1afe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,protocolos,ok,GET,,/protocolos,INFO,1787913025000000000,aed789288a2a4e17a563c4c82d2ee180
evento=http_access status=ok,http_access,9,55c683dc-79f8-4c83-a451-4a6f370fa28d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego,INFO,1787913024000000000,609e6339086a446ca4a007afc9aaf8c8
evento=http_access status=ok,http_access,1,44c0aa66-0400-4a23-b8eb-20caa7201f56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/sobre,INFO,1787913023000000000,78eba7dd1c8f465b86b6783e8c86fdc8
evento=http_access status=ok,http_access,1028,0017a08f-bf83-4e9f-b091-1caa326a134b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/informacoes,INFO,1787913023000000000,1e769076ad3b4609b827038e66fa617a
evento=geo_lookup status=ok ip=visitante-005,geo_lookup,,3e9468e0-b8ff-4d99-b92c-ebe2d35f612b,,,,,,,,,,,,,,visitante-005,,,,,,,,,,,,,,,,,,analiseDidatica,ok,GET,,/informacoes,INFO,1787913022000000000,1e769076ad3b4609b827038e66fa617a
evento=http_access status=ok,http_access,32,ebe2a724-127c-497c-b514-24e78bdba963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/calculadora,INFO,1787913021000000000,71733c54fdb84c919e58f616b04691ff
evento=http_access status=ok,http_access,3,90e4d441-3a8f-47e0-a400-1c5e5ab7b76c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/diagnostico,INFO,1787913019000000000,49abd35de5f847e89b5b4c51389e9743
evento=http_access status=ok,http_access,96,782bcb04-062c-4620-9c32-e7fa8d522fd7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1787913018000000000,c778ac5213dd46b1832dee8d7acc7309
evento=catalog_load status=ok total=30,catalog_load,,174eedff-0106-42e1-abaf-83ef2e24228e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,portas,ok,GET,,/portas,INFO,1787913017000000000,c778ac5213dd46b1832dee8d7acc7309
evento=http_access status=ok,http_access,29,ec92b2be-7b54-4c01-a6dc-9e755cf92b18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/seguranca,INFO,1787913014000000000,287eeccf528243f5a64cc0d22fea4505
evento=http_access status=ok,http_access,7,632afe7a-1aed-4e43-a986-bcca027aedbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/localizacao,INFO,1787913009000000000,62bb82776e044ebb973d5771ae73d8dc
evento=http_access status=ok,http_access,170,092a9938-04db-40aa-a765-c104909fa8d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787913007000000000,643f784239e54fd8bf1c10ea7d9354ee
evento=http_access status=ok,http_access,154,e88dffa4-ed70-4660-b677-39818ded91ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787913004000000000,d3b8baede47a4abaa3970ae8d3f32080
evento=http_access status=ok,http_access,3,fb379f6d-c6d8-425b-bae3-feabd3e7f802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787882160000000000,3c170670a75047ab8be0b214ed7c2b3c
evento=http_access status=ok,http_access,29,ae06e594-47f3-4b6b-9226-946814c5bd6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787882157000000000,c9104fdb12054fc4ac122206f73f1fc7
evento=http_access status=ok,http_access,118,0a172de3-0e3f-46de-90c0-34892ca5a339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787881600000000000,0d43a62d49164e48a2c0b899a6e00f67
evento=http_access status=ok,http_access,1,2af70504-b470-42c2-aadc-23b5913fd320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787873792000000000,aa042b76f5a94961ac7326a93eb5f449
evento=http_access status=ok,http_access,61,d3b1b15e-e422-4209-8d25-29c492abe791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/documentacao,INFO,1787873792000000000,4610d658ea37429fa87c87eb68b3371a
evento=http_access status=ok,http_access,1,1c50e9af-f187-4dc3-b621-5551cae6d27d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787873781000000000,e64bfa304a7244aca4ef5625fe7fc11b
evento=http_access status=ok,http_access,2,fcf02ffb-ddb3-4d45-95c5-ec6e5a940912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787873781000000000,15a4b07dec374ecaa009a0aee2ca814b
evento=http_access status=ok,http_access,0,8a0e3b9f-6688-417b-bff8-13051921e67a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787873703000000000,3f86b41fc28d4509b23a7923027669ee
evento=http_access status=ok,http_access,1160,f06f9ed1-a22a-47f2-b0c4-e106d9576c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/documentacao,INFO,1787873702000000000,272c2dc556af4cc686f8399b6278ff45
evento=http_access status=ok,http_access,0,a7cd20a4-7824-474d-8daa-430e50b9ffc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787873699000000000,cf380ac28db140e787e1c25353a757a0
evento=http_access status=ok,http_access,3,05fc1a66-13ee-412d-b24e-52b2c4595c38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787873698000000000,7effea43d9da4d11a55be548adf3a716
evento=http_access status=ok,http_access,0,4e78fdfd-fc45-4542-8916-7124b22fde71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787872624000000000,4c8e72a5f60c4cefa8c866a2dd71ef37
evento=http_access status=ok,http_access,0,a9890e59-dc18-4d30-9e37-fe8d2ceb559c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787872624000000000,49f04441d3bc487894154340c122e24a
evento=http_access status=ok,http_access,23,19b34d9e-eed7-4f88-aa92-f41e4b30cb0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787872327000000000,d9b87a773b1343c1bbcead9585ccd149
evento=http_access status=ok,http_access,305,1e7428af-b394-45cc-82b2-55f1c8929853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1787871311000000000,02d1014d4ca94327ba895fc0054235e1
evento=http_access status=ok,http_access,915,92beb90b-1c3d-4212-9251-94d2321d936d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1787871310000000000,543e6f29d86a4243908948aa803d245c
evento=http_access status=ok,http_access,1,a0256a17-085a-407b-a1cb-89b2bbda1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/login,INFO,1787849151000000000,f9b57a9961ff409592563e126cf4e447
